,TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,Date
0,1,-,IF,"$10,423,126",-,-,"4,041","$2,579","$10,423,126",1,Paramount Pictures,2024-05-17
1,2,1,Kingdom of the Planet of the Apes,"$6,829,062",+133.6%,-69.2%,"4,075","$1,675","$82,068,563",8,20th Century Studios,2024-05-17
2,3,-,The Strangers: Chapter 1,"$5,098,780",-,-,"2,856","$1,785","$5,098,780",1,Lionsgate Films,2024-05-17
3,4,2,The Fall Guy,"$2,350,055",+136.2%,-33.3%,"3,845",$611,"$56,886,900",15,Universal Pictures,2024-05-17
4,5,-,Back to Black,"$1,237,795",-,-,"2,010",$615,"$1,237,795",1,Focus Features,2024-05-17
5,6,3,Challengers,"$930,463",+69.6%,-42%,"1,938",$480,"$41,499,559",22,United Artists Releasing,2024-05-17
6,7,4,Tarot,"$571,748",+116.6%,-42.7%,"2,334",$244,"$14,005,064",15,Screen Gems,2024-05-17
7,8,15,I Saw the TV Glow,"$424,445","+1,365.8%",+404.5%,469,$905,"$904,267",15,A24,2024-05-17
8,9,-,The Blue Angels,"$422,802",-,-,227,"$1,862","$422,802",1,-,2024-05-17
9,10,8,Godzilla x Kong: The New Empire,"$402,299",+151.4%,-34.3%,"1,773",$226,"$193,097,312",50,Warner Bros.,2024-05-17
10,11,6,Unsung Hero,"$322,454",+98.9%,-38.3%,"1,736",$185,"$18,296,771",22,Lionsgate Films,2024-05-17
11,12,5,Civil War,"$272,440",+45.3%,-46.7%,"1,112",$245,"$66,497,985",36,A24,2024-05-17
12,13,9,Kung Fu Panda 4,"$228,990",+66.6%,-45%,"1,437",$159,"$191,938,180",71,Universal Pictures,2024-05-17
13,14,13,Ghostbusters: Frozen Empire,"$116,322",+160%,-49.7%,819,$142,"$111,822,630",57,Sony Pictures Releasing,2024-05-17
14,15,10,Abigail,"$114,045",+68.9%,-66.2%,694,$164,"$25,344,110",29,Universal Pictures,2024-05-17
